damage_id,report_id,report_key,event_order,round_no,source,target,skill,buff,sample_type,observed_damage,pred_raw,pred_int_uncapped,pred_final,pred_grade_low,pred_grade_high,abs_diff,rel_error,obs_over_pred,target_hp_before,target_hp_after,is_lethal,setup_force,current_force,target_command,pierce_pct,target_eff_command,ignores_command,source_hp,skill_multiplier,troop_multiplier,unit_multiplier,source_bucket,target_bucket,source_damage_pct,target_damage_taken_pct,source_country_bonus,target_country_reduction,resolved_source_country,resolved_target_country,source_grade,target_grade,grade_multiplier,trigger_multiplier,special_multiplier,zongma_negative_bonus,zongma_negative_reason,total_external_multiplier,current_trigger,source_is_npc,target_is_npc,raw_text
872,6,battle_20260620_024521,94,1,马云禄,赵云,普通攻击,,normal_attack,347,350.7721934757976,351,351,344,358,4,0.011527377521613832,0.9886039886039886,16000.0,15653.0,False,328.17,328.17,290.95,0.0,290.95,False,9631.0,1.0,1.0,1.0,1.03,0.979,3.0,-2.1,0.0,0.0,蜀,蜀,3,0,1.03,1.0,1.0,1.0,,1.0386211,,False,True,[赵云]损失了兵力347(15653)
873,6,battle_20260620_024521,98,1,马云禄,赵云,红妆缭乱,,physical_skill,894,927.0712010535289,927,927,909,945,33,0.03691275167785235,0.9644012944983819,15653.0,14759.0,False,328.17,328.17,290.95,0.0,290.95,False,9631.0,2.398,1.0,1.0,1.03,1.079,3.0,7.9,0.0,0.0,蜀,蜀,3,0,1.03,1.0,1.0,1.0,,2.7450172178,,False,True,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力894(14759)"
879,6,battle_20260620_024521,128,1,张飞,马云禄,万人之敌,,physical_skill,1020,1032.0097426329012,1032,1032,1032,1032,12,0.011764705882352941,0.9883720930232558,9013.0,7993.0,False,337.7,337.7,191.67,0.0,191.67,False,16000.0,1.4,1.0,1.15,1.014,0.965,1.4,-3.0,0.0,0.5,蜀,蜀,0,3,0.97,1.5,1.0,1.0,,2.2922086005,会心,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力1020(7993)"
880,6,battle_20260620_024521,132,1,张飞,诸葛亮,万人之敌,,physical_skill,396,398.4284957000771,398,398,398,398,2,0.005050505050505051,0.9949748743718593,9215.0,8819.0,False,337.7,337.7,260.58,0.0,260.58,False,16000.0,1.4,1.0,0.85,1.014,0.895,1.4,-10.0,0.0,0.5,蜀,蜀,0,2,0.98,1.0,1.0,1.0,,1.058361486,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力396(8819)"
883,6,battle_20260620_024521,155,1,张飞,诸葛亮,普通攻击,,normal_attack,303,310.8974086368427,311,311,311,311,8,0.026402640264026403,0.9742765273311897,8634.0,8331.0,False,337.7,337.7,268.01,0.0,268.01,False,16000.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,蜀,蜀,0,2,0.98,1.0,1.0,1.0,,0.84043869,,True,False,[诸葛亮]损失了兵力303(8331)
887,6,battle_20260620_024521,178,1,赵云,马云禄,普通攻击,,normal_attack,443,449.8572132716821,450,450,450,450,7,0.01580135440180587,0.9844444444444445,7501.0,7058.0,False,326.14,326.14,191.67,0.0,191.67,False,14269.0,1.0,1.0,1.0,1.014,1.065,1.4,7.0,0.0,0.5,蜀,蜀,0,3,0.97,1.0,1.0,1.0,,1.0475127,,True,False,[马云禄]损失了兵力443(7058)
888,6,battle_20260620_024521,183,1,赵云,马云禄,辕门射戟,,physical_skill,995,989.6858691977008,990,990,990,990,5,0.005025125628140704,1.005050505050505,7058.0,6063.0,False,326.14,326.14,191.67,0.0,191.67,False,14269.0,2.2,1.0,1.0,1.014,1.065,1.4,7.0,0.0,0.5,蜀,蜀,0,3,0.97,1.0,1.0,1.0,,2.3045279400000003,,True,False,"[马云禄]由于[赵云]的【辕门射戟】的伤害,损失了兵力995(6063)"
891,6,battle_20260620_024521,207,2,马云禄,赵云,普通攻击,,normal_attack,325,339.3187652344507,339,339,333,346,14,0.043076923076923075,0.9587020648967551,14269.0,13944.0,False,328.17,365.27,290.95,0.0,290.95,False,5883.0,1.0,0.8690956813302309,1.0,1.03,0.979,3.0,-2.1,0.0,0.0,蜀,蜀,3,0,1.03,1.0,1.0,1.0,,0.9026611125484538,,False,True,[赵云]损失了兵力325(13944)
892,6,battle_20260620_024521,213,2,马云禄,张飞,普通攻击,,normal_attack,300,306.2785245891787,306,306,300,312,6,0.02,0.9803921568627451,16000.0,15700.0,False,328.17,365.27,266.2,0.0,266.2,False,5948.0,1.0,0.8722528329257231,0.85,1.03,0.979,3.0,-2.1,0.0,0.0,蜀,蜀,3,0,1.03,1.0,1.0,1.0,,0.7700491672897162,,False,True,[张飞]损失了兵力300(15700)
893,6,battle_20260620_024521,219,2,马云禄,张飞,红妆缭乱,,physical_skill,778,812.1625060204325,812,812,796,828,34,0.043701799485861184,0.958128078817734,15700.0,14922.0,False,328.17,365.27,266.2,0.0,266.2,False,6008.0,2.398,0.8751466744334702,0.85,1.03,1.079,3.0,7.9,0.0,0.0,蜀,蜀,3,0,1.03,1.0,1.0,1.0,,2.041948786007244,,False,True,"[张飞]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力778(14922)"
894,6,battle_20260620_024521,223,2,马云禄,张飞,红妆缭乱,红妆缭乱,physical_skill,790,819.0619087814307,819,819,803,835,29,0.03670886075949367,0.9645909645909646,14922.0,14132.0,False,328.17,365.27,266.2,0.0,266.2,False,6164.0,2.398,0.8825811340854562,0.85,1.03,1.079,3.0,7.9,0.0,0.0,蜀,蜀,3,0,1.03,1.0,1.0,1.0,,2.0592953477945235,,False,True,"[张飞]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力790(14132)"
895,6,battle_20260620_024521,228,2,马超,诸葛亮,普通攻击,,normal_attack,498,469.21942245264074,469,469,469,469,29,0.05823293172690763,1.0618336886993602,8164.0,7666.0,False,334.4,334.4,282.85,0.0,282.85,False,16000.0,1.0,1.0,1.0,1.3639999999999999,0.995,36.4,0.0,0.0,0.5,蜀,蜀,0,2,0.98,1.0,1.0,1.0,,1.3300363999999998,,True,False,[诸葛亮]损失了兵力498(7666)
896,6,battle_20260620_024521,235,2,张飞,诸葛亮,万人之敌,,physical_skill,597,631.0062543262405,631,631,631,631,34,0.05695142378559464,0.9461172741679873,7666.0,7069.0,False,337.7,337.7,282.85,0.0,282.85,False,14132.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,蜀,蜀,0,2,0.98,1.5,1.0,1.0,,1.7649212490000004,会心,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力597(7069)"
898,6,battle_20260620_024521,250,2,张飞,马云禄,万人之敌,,physical_skill,730,759.3025049423416,759,759,759,759,29,0.03972602739726028,0.9617918313570487,6322.0,5592.0,False,337.7,337.7,191.67,0.0,191.67,False,14132.0,1.4,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,蜀,蜀,0,3,0.97,1.0,1.0,1.0,,1.6864954469999995,,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力730(5592)"
899,6,battle_20260620_024521,258,2,张飞,马云禄,水淹七军,,physical_skill,1450,1495.165528072203,1495,1495,1495,1495,45,0.03103448275862069,0.9698996655518395,5592.0,4142.0,False,337.7,337.7,171.67,0.0,171.67,False,14132.0,2.6,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,蜀,蜀,0,3,0.97,1.0,1.0,1.0,,3.132062973,,True,False,"[马云禄]由于[张飞]的【水淹七军】的伤害,损失了兵力1450(4142)"
900,6,battle_20260620_024521,268,2,张飞,诸葛亮,水淹七军,,physical_skill,776,804.0874791728522,804,804,804,804,28,0.03608247422680412,0.9651741293532339,7154.0,6378.0,False,337.7,337.7,270.27,0.0,270.27,False,14132.0,2.6,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,蜀,蜀,0,2,0.98,1.0,1.0,1.0,,2.185140594,,True,False,"[诸葛亮]由于[张飞]的【水淹七军】的伤害,损失了兵力776(6378)"
